label,T,lin_ratio_mean,lin_ratio_sd,lin_ratio_min,lin_ratio_max
a1r_div_2080,1,30.566920197279632,5.115947497202797,18.33712445365215,35.89414054730115
a1r_div_2080,4,0.9936145366724969,0.013212046754928595,0.9717304309298745,1.012730788188234
a1r_div_2080,6,0.9969737817077029,0.015802544392496554,0.9711938683659553,1.0233583589542405
a1r_div_2080,8,1.0090782005023602,0.011687143418965762,0.9884232280484864,1.025165737329656
a1_lived_5k,1,893.618964564803,12.2167410500977,877.0800158049078,910.4567606065467
a1_lived_5k,4,608.3502886966631,73.44414437294705,490.971299275154,701.2180514503951
a1_lived_5k,6,633.4403082640266,106.26296197336521,479.86299382571883,844.9979357600965
a1_lived_5k,8,414.4690764591106,175.36246734608957,138.96869907343228,644.7736062634017
a1_lived_20k,1,672.0681290980511,133.32955540637326,401.34124454066114,776.3477495537544
a1_lived_20k,4,80.06609875867943,27.078234637757728,45.4427450028324,128.0184742026918
a1_lived_20k,6,29.145200493055373,8.723622060454154,16.314367534615428,45.112130107570714
a1_lived_20k,8,14.009520132680393,2.4726678511435267,10.99550182473383,18.20652343597549
gate_lived_20k,1,816.1527570368685,15.483189124019242,788.5113121589729,834.8754447007747
gate_lived_20k,4,430.69513544696633,21.5056087691892,402.6638629543427,465.4016732138023
gate_lived_20k,6,408.6695892386392,39.65909280947763,358.85405882475163,464.7671561381922
gate_lived_20k,8,390.0515936989455,51.206768150718915,321.06159710304513,477.8925528451599
