label,T,sigma_fT,rho_eff,forward_gain,spread,lin_ratio,fd_delta_eps1e-3,fd_delta_eps1,linearisation_valid
gate_lived_20k,1,89.51065826416016,89.51065826416016,1.776682734489441,0.04384743049740791,828.0628712891321,1.3844679594039917,1146.426513671875,True
gate_lived_20k,2,308.138671875,17.55387911189433,3.093010663986206,0.1357913315296173,566.6218645596601,2.365696430206299,1340.455322265625,True
gate_lived_20k,4,632.9816284179688,5.0158873737110685,4.422481536865234,0.06398174166679382,415.53517559891515,3.795243978500366,1577.057373046875,True
gate_lived_20k,6,1140.6322021484375,3.232393846971007,5.714496612548828,0.0007617674418725073,341.7189893933297,5.582364559173584,1907.5999755859375,True
gate_lived_20k,8,1559.677978515625,2.50685588344926,6.870138645172119,0.22472165524959564,317.4888719034067,7.279073715209961,2311.02490234375,True
a0_lived_20k,1,104.11244201660156,104.11244201660156,1.75731360912323,0.16477161645889282,676.0969776938423,1.6880131959915161,1141.2606201171875,True
a0_lived_20k,2,107.54708862304688,10.370491243091953,1.9415473937988281,0.2979526221752167,561.1829622692866,1.972599983215332,1106.989501953125,True
a0_lived_20k,4,130.44815063476562,3.379554711537003,2.459441661834717,0.3748266100883484,407.9274288033708,2.8147449493408203,1148.211669921875,True
a0_lived_20k,6,192.54556274414062,2.4030100424684675,2.925180435180664,0.37724894285202026,324.44370769042195,3.7443459033966064,1214.8294677734375,True
a0_lived_20k,8,174.38648986816406,1.90629059191315,3.3483259677886963,0.13165225088596344,306.35651938477463,4.186290264129639,1282.497314453125,True
