label,T,lin_ratio_mean,lin_ratio_sd,lin_ratio_min,lin_ratio_max
a1r_div_2080,4,0.998250630671123,0.019049404423718774,0.9619879405262709,1.025033075161409
a1r_div_2080,6,0.9876426312545249,0.01601880122573621,0.9748376712888834,1.0269166354344703
a1_lived_5k,4,4.892002383728499,0.9835627919591674,2.9214752704849296,6.128063746326566
a1_lived_5k,6,4.590112001318541,0.6171887348849393,3.6456170066200344,5.537919884086402
a1_lived_20k,4,6.775774008711535,1.1236988940163373,5.466612105261541,8.566486893097357
a1_lived_20k,6,6.695093659793084,1.3597176070172776,4.626630146549357,9.472269520137914
gate_lived_20k,4,1.5612291359943486,0.08947390362051215,1.4168840789653225,1.6893532950777357
gate_lived_20k,6,1.5381398224790166,0.09689795089479325,1.3937769700834344,1.6814307636137427
